Food,Cost,Cost Unit,Mass rec 1,Mass rec 2,Mass rec 3,Mass Unit,Mass Trial 1,Mass Trial 2,Mass Trial 3,Avg Mass,Std Dev,Cost/Food,Garbage Mass(g),Garbage Mass Trial 2,Mass/Dollar,Food/Dollar,Food/Mass,Comment,NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,Data Weight Average,Std Dev,EIE mass minus Refuse,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),"White=eie Raw Data Collected
Gray=Incoming USDA
Yellow=USDA to eie
Green= Nutrient Per Dollar
Lt Brown= Nutrient Per Gram of Food
Dk Blue= Nutrient Per Calorie",Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Value/Max,Energ_Kcal,Protein_(g),Fiber_TD_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),Highest  Nutrition Ratio,Nutrition Ratio Total,Rank,,"potassium/
$* sugar mg","sugar/
sugar max","potassium/
($ *sugar/sugar max)",Mass- Refuse (g),Cost,g/$,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Cost,g/$,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Total Ranking,Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Total Nutrient Per Caloire Rank
Spinach,0.98,ea,357,,,,357,,,357,,0.98,,,364,1.0,0.002801120448,,11457,"SPINACH,RAW",91.4,23,2.86,0.39,1.72,3.63,2.2,0.42,99,2.71,79,49,558,79,0.53,0.13,0.897,1,28.1,0.078,0.189,0.724,0.065,0.195,194,0,194,194,19.3,0,9377,469,0,0,5626,0,0,12198,2.03,0,0,482.9,0.063,0.01,0.165,0,30,1 cup,340,1 bunch,28,185,155,257.04,234.93,59.12,7.35,1.00,4.42,9.33,5.65,1.08,254.47,6.97,203.06,125.95,1434.28,203.06,1.36,0.33,2.31,2.57,72.23,0.20,0.49,1.86,0.17,0.50,498.66,0.00,498.66,498.66,49.61,0.00,24102.64,1205.52,0.00,0.00,14461.07,0.00,0.00,31353.74,5.22,0.00,0.00,1241.25,0.16,0.03,0.42,0.00,,239.73,60.33,7.50,1.02,4.51,9.52,5.77,1.10,259.66,7.11,207.21,128.52,1463.55,207.21,1.39,0.34,2.35,2.62,73.70,0.20,0.50,1.90,0.17,0.51,508.83,0.00,508.83,508.83,50.62,0.00,24594.53,1230.12,0.00,0.00,14756.19,0.00,0.00,31993.61,5.32,0.00,0.00,1266.58,0.17,0.03,0.43,0.00,,0.01,0.04,0.11,0.13,0.09,0.52,0.07,0.26,0.18,0.11,0.07,0.19,0.00,0.19,0.01,0.06,0.02,0.02,0.16,0.15,0.00,0.42,0.10,0.04,0.00,0.23,0.23,0.00,0.00,0.27,0.00,0.00,1.00,0.08,0.00,0.00,0.57,1.00,5.34,0.299,12,1355.69,0.00,533597.6676,257,0.98,262.2857143,0.91,0.23,0.03,0.00,0.02,0.04,0.02,0.00,0.99,0.03,0.79,0.49,5.58,0.79,0.01,0.00,0.01,0.01,0.28,0.00,0.00,0.01,0.00,0.00,1.94,0.00,1.94,1.94,0.19,0.00,93.77,4.69,0.00,0.00,56.26,0.00,0.00,121.98,0.02,0.00,0.00,4.83,0.00,0.00,0.00,0.00,0.05,0.12,0.91,0.03,0.11,0.00,0.47,0.04,0.18,0.01,0.14,0.18,0.29,0.10,0.76,0.12,0.07,0.09,0.41,0.03,0.21,0.06,0.13,0.04,0.04,0.11,0.55,0.00,0.81,0.33,0.06,0.00,0.49,0.49,0.00,0.00,0.49,0.00,0.00,0.95,0.08,0.00,0.00,0.29,0.00,0.00,0.01,0.00,7.51,4.30,0.12,3.43,2.13,24.26,3.43,0.02,0.01,0.04,0.04,1.22,0.00,0.01,0.03,0.00,0.01,8.43,0.00,8.43,8.43,0.84,0.00,407.70,20.39,0.00,0.00,244.61,0.00,0.00,530.35,0.09,0.00,0.00,21.00,0.00,0.00,0.01,0.59,0.68,1.00,0.71,0.50,0.23,0.78,0.18,0.18,0.17,0.30,0.24,0.06,0.02,0.01,0.05,1.00,0.00,1.00,1.00,0.32,0.00,0.80,0.80,0.00,0.00,0.80,0.00,0.00,1.00,0.71,0.00,0.00,0.46,0.06,0.01,0.20,13.85
Flat Italy Parsley,0.88,ea,68,,,,68,,,68,,0.88,,,77,1.1,0.01470588235,,11297,"PARSLEY,FRSH",87.71,36,2.97,0.79,2.2,6.33,3.3,0.85,138,6.2,50,58,554,56,1.07,0.149,0.16,0.1,133,0.086,0.098,1.313,0.4,0.09,152,0,152,152,12.8,0,8424,421,0,0,5054,0,0,5561,0.75,0,0,1640,0.132,0.295,0.124,0,60,"1 cup, chopped",3.8,1 tbsp,5,31.9,28.1,64.6,56.66,23.26,1.92,0.51,1.42,4.09,2.13,0.55,89.15,4.01,32.30,37.47,357.88,36.18,0.69,0.10,0.10,0.06,85.92,0.06,0.06,0.85,0.26,0.06,98.19,0.00,98.19,98.19,8.27,0.00,5441.90,271.97,0.00,0.00,3264.88,0.00,0.00,3592.41,0.48,0.00,0.00,1059.44,0.09,0.19,0.08,0.00,,64.39,26.43,2.18,0.58,1.62,4.65,2.42,0.62,101.30,4.55,36.70,42.58,406.69,41.11,0.79,0.11,0.12,0.07,97.63,0.06,0.07,0.96,0.29,0.07,111.58,0.00,111.58,111.58,9.40,0.00,6183.98,309.05,0.00,0.00,3710.10,0.00,0.00,4082.28,0.55,0.00,0.00,1203.91,0.10,0.22,0.09,0.00,,0.00,0.01,0.05,0.05,0.05,0.09,0.02,0.07,0.03,0.06,0.02,0.01,0.00,0.25,0.00,0.01,0.01,0.04,0.02,0.03,0.00,0.09,0.02,0.01,0.00,0.06,0.06,0.00,0.00,0.07,0.00,0.00,0.13,0.01,0.00,0.00,0.55,0.55,1.84,0.103,53,740.64,0.00,291516.5775,65,0.88,73.40909091,0.88,0.36,0.03,0.01,0.02,0.06,0.03,0.01,1.38,0.06,0.50,0.58,5.54,0.56,0.01,0.00,0.00,0.00,1.33,0.00,0.00,0.01,0.00,0.00,1.52,0.00,1.52,1.52,0.13,0.00,84.24,4.21,0.00,0.00,50.54,0.00,0.00,55.61,0.01,0.00,0.00,16.40,0.00,0.00,0.00,0.00,0.05,0.03,0.88,0.04,0.12,0.01,0.60,0.07,0.26,0.02,0.19,0.41,0.19,0.12,0.76,0.09,0.13,0.10,0.07,0.00,1.00,0.07,0.07,0.07,0.23,0.05,0.43,0.00,0.63,0.26,0.04,0.00,0.44,0.44,0.00,0.00,0.44,0.00,0.00,0.43,0.03,0.00,0.00,1.00,0.01,0.00,0.00,0.00,7.99,3.83,0.17,1.39,1.61,15.39,1.56,0.03,0.00,0.00,0.00,3.69,0.00,0.00,0.04,0.01,0.00,4.22,0.00,4.22,4.22,0.36,0.00,234.00,11.69,0.00,0.00,140.39,0.00,0.00,154.47,0.02,0.00,0.00,45.56,0.00,0.01,0.00,0.53,1.00,0.40,0.54,0.31,0.10,1.00,0.14,0.02,0.01,0.90,0.17,0.02,0.02,0.04,0.02,0.50,0.00,0.50,0.50,0.14,0.00,0.46,0.46,0.00,0.00,0.46,0.00,0.00,0.29,0.17,0.00,0.00,1.00,0.08,0.10,0.10,9.96
Curly Parsley,0.78,ea,103,,,,103,,,103,,0.78,19,,132,1.3,0.009708737864,,11297,"PARSLEY,FRSH",87.71,36,2.97,0.79,2.2,6.33,3.3,0.85,138,6.2,50,58,554,56,1.07,0.149,0.16,0.1,133,0.086,0.098,1.313,0.4,0.09,152,0,152,152,12.8,0,8424,421,0,0,5054,0,0,5561,0.75,0,0,1640,0.132,0.295,0.124,0,60,"1 cup, chopped",3.8,1 tbsp,5,31.9,28.1,97.85,85.82,35.23,2.91,0.77,2.15,6.19,3.23,0.83,135.03,6.07,48.93,56.75,542.09,54.80,1.05,0.15,0.16,0.10,130.14,0.08,0.10,1.28,0.39,0.09,148.73,0.00,148.73,148.73,12.52,0.00,8242.88,411.95,0.00,0.00,4945.34,0.00,0.00,5441.44,0.73,0.00,0.00,1604.74,0.13,0.29,0.12,0.00,,110.03,45.16,3.73,0.99,2.76,7.94,4.14,1.07,173.12,7.78,62.72,72.76,694.99,70.25,1.34,0.19,0.20,0.13,166.85,0.11,0.12,1.65,0.50,0.11,190.68,0.00,190.68,190.68,16.06,0.00,10567.80,528.14,0.00,0.00,6340.18,0.00,0.00,6976.20,0.94,0.00,0.00,2057.36,0.17,0.37,0.16,0.00,,0.01,0.02,0.08,0.09,0.09,0.16,0.04,0.13,0.06,0.11,0.04,0.02,0.00,0.43,0.01,0.01,0.02,0.06,0.04,0.06,0.00,0.16,0.04,0.01,0.00,0.10,0.10,0.00,0.00,0.12,0.00,0.00,0.22,0.01,0.00,0.00,0.93,0.93,3.14,0.176,30,835.60,0.00,328890.4977,98,0.78,125.4487179,0.88,0.36,0.03,0.01,0.02,0.06,0.03,0.01,1.38,0.06,0.50,0.58,5.54,0.56,0.01,0.00,0.00,0.00,1.33,0.00,0.00,0.01,0.00,0.00,1.52,0.00,1.52,1.52,0.13,0.00,84.24,4.21,0.00,0.00,50.54,0.00,0.00,55.61,0.01,0.00,0.00,16.40,0.00,0.00,0.00,0.00,0.04,0.06,0.88,0.04,0.12,0.01,0.60,0.07,0.26,0.02,0.19,0.41,0.19,0.12,0.76,0.09,0.13,0.10,0.07,0.00,1.00,0.07,0.07,0.07,0.23,0.05,0.43,0.00,0.63,0.26,0.04,0.00,0.44,0.44,0.00,0.00,0.44,0.00,0.00,0.43,0.03,0.00,0.00,1.00,0.01,0.00,0.00,0.00,7.99,3.83,0.17,1.39,1.61,15.39,1.56,0.03,0.00,0.00,0.00,3.69,0.00,0.00,0.04,0.01,0.00,4.22,0.00,4.22,4.22,0.36,0.00,234.00,11.69,0.00,0.00,140.39,0.00,0.00,154.47,0.02,0.00,0.00,45.56,0.00,0.01,0.00,0.53,1.00,0.40,0.54,0.31,0.10,1.00,0.14,0.02,0.01,0.90,0.17,0.02,0.02,0.04,0.02,0.50,0.00,0.50,0.50,0.14,0.00,0.46,0.46,0.00,0.00,0.46,0.00,0.00,0.29,0.17,0.00,0.00,1.00,0.08,0.10,0.10,9.96
Romaine Lettuce,0.98,ea,928,,,,928,,,928,,0.98,,,947,1.0,0.001077586207,,11251,"LETTUCE,COS OR ROMAINE,RAW",94.61,17,1.23,0.3,0.58,3.29,2.1,1.19,33,0.97,14,30,247,8,0.23,0.048,0.155,0.4,4,0.072,0.067,0.313,0.142,0.074,136,0,136,136,9.9,0,8710,436,0,0,5226,0,0,2312,0.13,0,0,102.5,0.039,0.012,0.16,0,47,"1 cup, shredded",6,"1 leaf, inner",6,26.5,20.5,872.32,825.30,148.29,10.73,2.62,5.06,28.70,18.32,10.38,287.87,8.46,122.12,261.70,2154.63,69.79,2.01,0.42,1.35,3.49,34.89,0.63,0.58,2.73,1.24,0.65,1186.36,0.00,1186.36,1186.36,86.36,0.00,75979.07,3803.32,0.00,0.00,45587.44,0.00,0.00,20168.04,1.13,0.00,0.00,894.13,0.34,0.10,1.40,0.00,Sort by ,842.14,151.32,10.95,2.67,5.16,29.29,18.69,10.59,293.74,8.63,124.62,267.04,2198.60,71.21,2.05,0.43,1.38,3.56,35.60,0.64,0.60,2.79,1.26,0.66,1210.57,0.00,1210.57,1210.57,88.12,0.00,77529.67,3880.93,0.00,0.00,46517.80,0.00,0.00,20579.63,1.16,0.00,0.00,912.38,0.35,0.11,1.42,0.00,,0.02,0.06,0.36,0.15,0.10,0.32,0.14,0.40,0.06,0.16,0.09,0.11,0.01,0.09,0.05,0.07,0.03,0.16,0.20,0.37,0.00,1.00,0.23,0.07,0.00,0.71,0.71,0.00,0.00,0.86,0.00,0.00,0.64,0.02,0.00,0.00,0.41,1.00,7.61,0.427,5,211.80,0.03,83364.08849,872,0.98,890.122449,0.95,0.17,0.01,0.00,0.01,0.03,0.02,0.01,0.33,0.01,0.14,0.30,2.47,0.08,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,1.36,0.00,1.36,1.36,0.10,0.00,87.10,4.36,0.00,0.00,52.26,0.00,0.00,23.12,0.00,0.00,0.00,1.03,0.00,0.00,0.00,0.00,0.05,0.41,0.95,0.02,0.05,0.00,0.16,0.04,0.17,0.03,0.05,0.06,0.05,0.06,0.34,0.01,0.03,0.03,0.07,0.01,0.03,0.05,0.04,0.02,0.08,0.04,0.39,0.00,0.57,0.23,0.03,0.00,0.45,0.45,0.00,0.00,0.45,0.00,0.00,0.18,0.01,0.00,0.00,0.06,0.00,0.00,0.01,0.00,4.02,1.94,0.06,0.82,1.76,14.53,0.47,0.01,0.00,0.01,0.02,0.24,0.00,0.00,0.02,0.01,0.00,8.00,0.00,8.00,8.00,0.58,0.00,512.35,25.65,0.00,0.00,307.41,0.00,0.00,136.00,0.01,0.00,0.00,6.03,0.00,0.00,0.01,0.27,0.33,0.24,0.59,0.30,0.03,0.46,0.09,0.04,0.09,0.06,0.30,0.03,0.01,0.03,0.03,0.95,0.00,0.95,0.95,0.22,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.26,0.06,0.00,0.00,0.13,0.05,0.01,0.26,9.73
Turnip Greens,0.98,ea,333,,,,333,,,333,,0.98,220,,340,1.0,0.003003003003,,11568,"TURNIP GREENS,RAW",89.67,32,1.5,0.3,1.4,7.13,3.2,0.81,190,1.1,31,42,296,40,0.19,0.35,0.466,1.2,60,0.07,0.1,0.6,0.38,0.263,194,0,194,194,,0,11587,579,0,0,6952,0,0,12825,2.86,0,0,251,0.07,0.02,0.12,0,55,"1 cup, chopped",,,30,55,0,233.1,209.02,74.59,3.50,0.70,3.26,16.62,7.46,1.89,442.89,2.56,72.26,97.90,689.98,93.24,0.44,0.82,1.09,2.80,139.86,0.16,0.23,1.40,0.89,0.61,452.21,0.00,452.21,452.21,0.00,0.00,27009.30,1349.65,0.00,0.00,16205.11,0.00,0.00,29895.08,6.67,0.00,0.00,585.08,0.16,0.05,0.28,0.00,,213.29,76.11,3.57,0.71,3.33,16.96,7.61,1.93,451.93,2.62,73.74,99.90,704.06,95.14,0.45,0.83,1.11,2.85,142.71,0.17,0.24,1.43,0.90,0.63,461.44,0.00,461.44,461.44,0.00,0.00,27560.51,1377.19,0.00,0.00,16535.83,0.00,0.00,30505.18,6.80,0.00,0.00,597.02,0.17,0.05,0.29,0.00,,0.01,0.02,0.15,0.23,0.03,0.19,0.05,0.13,0.08,0.04,0.18,0.09,0.00,0.37,0.01,0.03,0.01,0.11,0.19,0.14,0.00,0.38,0.09,0.00,0.00,0.25,0.25,0.00,0.00,0.31,0.00,0.00,0.95,0.10,0.00,0.00,0.27,0.95,4.68,0.262,15,372.89,0.00,146769.4633,233,0.98,237.8571429,0.90,0.32,0.02,0.00,0.01,0.07,0.03,0.01,1.90,0.01,0.31,0.42,2.96,0.40,0.00,0.00,0.00,0.01,0.60,0.00,0.00,0.01,0.00,0.00,1.94,0.00,1.94,1.94,0.00,0.00,115.87,5.79,0.00,0.00,69.52,0.00,0.00,128.25,0.03,0.00,0.00,2.51,0.00,0.00,0.00,0.00,0.05,0.11,0.90,0.04,0.06,0.00,0.38,0.08,0.26,0.02,0.27,0.07,0.11,0.09,0.40,0.06,0.02,0.23,0.21,0.03,0.45,0.05,0.07,0.03,0.22,0.15,0.55,0.00,0.81,0.33,0.00,0.00,0.60,0.60,0.00,0.00,0.60,0.00,0.00,1.00,0.11,0.00,0.00,0.15,0.00,0.00,0.00,0.00,7.53,5.94,0.03,0.97,1.31,9.25,1.25,0.01,0.01,0.01,0.04,1.88,0.00,0.00,0.02,0.01,0.01,6.06,0.00,6.06,6.06,0.00,0.00,362.09,18.09,0.00,0.00,217.25,0.00,0.00,400.78,0.09,0.00,0.00,7.84,0.00,0.00,0.00,0.82,0.20,0.28,0.44,0.19,0.08,0.20,0.36,0.07,0.15,0.46,0.16,0.02,0.01,0.05,0.05,0.72,0.00,0.72,0.72,0.00,0.00,0.71,0.71,0.00,0.00,0.71,0.00,0.00,0.76,0.72,0.00,0.00,0.17,0.05,0.01,0.10,9.61
Cilantro,0.68,ea,46,,,,46,,,46,,0.68,13,,68,1.5,0.02173913043,,11165,"CORIANDER (CILANTRO) LEAVES,RAW",92.21,23,2.13,0.52,1.47,3.67,2.8,0.87,67,1.77,26,48,521,46,0.5,0.225,0.426,0.9,27,0.067,0.162,1.114,0.57,0.149,62,0,62,62,12.8,0,6748,337,0,36,3930,202,0,865,2.5,0,0,310,0.014,0.275,0.04,0,4,.25 cup,20,9 sprigs,15,12,8,39.1,36.05,8.99,0.83,0.20,0.57,1.43,1.09,0.34,26.20,0.69,10.17,18.77,203.71,17.99,0.20,0.09,0.17,0.35,10.56,0.03,0.06,0.44,0.22,0.06,24.24,0.00,24.24,24.24,5.00,0.00,2638.47,131.77,0.00,14.08,1536.63,78.98,0.00,338.22,0.98,0.00,0.00,121.21,0.01,0.11,0.02,0.00,,53.02,13.23,1.22,0.30,0.85,2.11,1.61,0.50,38.53,1.02,14.95,27.60,299.58,26.45,0.29,0.13,0.24,0.52,15.53,0.04,0.09,0.64,0.33,0.09,35.65,0.00,35.65,35.65,7.36,0.00,3880.10,193.78,0.00,20.70,2259.75,116.15,0.00,497.38,1.44,0.00,0.00,178.25,0.01,0.16,0.02,0.00,,0.00,0.01,0.03,0.02,0.01,0.04,0.01,0.05,0.02,0.02,0.03,0.02,0.00,0.04,0.00,0.01,0.01,0.04,0.03,0.01,0.00,0.03,0.01,0.01,0.00,0.04,0.04,0.00,0.00,0.04,0.01,0.00,0.02,0.02,0.00,0.00,0.08,0.08,0.69,0.039,89,880.66,0.00,346628.8032,39,0.68,57.5,0.92,0.23,0.02,0.01,0.01,0.04,0.03,0.01,0.67,0.02,0.26,0.48,5.21,0.46,0.01,0.00,0.00,0.01,0.27,0.00,0.00,0.01,0.01,0.00,0.62,0.00,0.62,0.62,0.13,0.00,67.48,3.37,0.00,0.36,39.30,2.02,0.00,8.65,0.03,0.00,0.00,3.10,0.00,0.00,0.00,0.00,0.04,0.03,0.92,0.03,0.08,0.01,0.40,0.04,0.22,0.02,0.09,0.12,0.10,0.10,0.71,0.07,0.06,0.15,0.20,0.02,0.20,0.05,0.11,0.06,0.32,0.08,0.18,0.00,0.26,0.11,0.04,0.00,0.35,0.35,0.00,0.01,0.34,0.06,0.00,0.07,0.10,0.00,0.00,0.19,0.00,0.00,0.00,0.00,4.76,2.91,0.08,1.13,2.09,22.65,2.00,0.02,0.01,0.02,0.04,1.17,0.00,0.01,0.05,0.02,0.01,2.70,0.00,2.70,2.70,0.56,0.00,293.39,14.65,0.00,1.57,170.87,8.78,0.00,37.61,0.11,0.00,0.00,13.48,0.00,0.01,0.00,0.40,0.45,0.33,0.70,0.46,0.13,0.73,0.32,0.08,0.16,0.28,0.21,0.05,0.03,0.10,0.04,0.32,0.00,0.32,0.32,0.21,0.00,0.57,0.57,0.00,0.02,0.56,0.11,0.00,0.07,0.88,0.00,0.00,0.30,0.01,0.14,0.05,8.92
